run_date,priority,path,update_class,current_status,action,current_anchor,production_claim_effect,notes
2026-07-06,P2,docs/lazycodex/evidence/matter-web/artifacts/lcx-vltui-production-smoke-2026-06-29.md,EVIDENCE_FREEZE,current_anchor,INDEX_ONLY_DO_NOT_REWRITE,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,"Smoke receipt stays evidence, not go-live claim."
2026-07-06,P3,docs/lazycodex/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,630 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/reorganization/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,583 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P4,artifacts/closeout-pack-claude-review/**,EVIDENCE_FREEZE,queued_from_review_queue,REVIEW_AFTER_FINAL_RECEIPT,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,38 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/ui-reference/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,37 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/hrx-enterprise/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,20 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P4,docs/matter-pack-integration/**,EVIDENCE_FREEZE,queued_from_review_queue,REVIEW_AFTER_FINAL_RECEIPT,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,20 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/closeout-pack-plan/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,8 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P4,artifacts/backups/**,EVIDENCE_FREEZE,queued_from_review_queue,ARCHIVE_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,7 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/spec-v2-integration/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,7 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/desktop/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,5 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P4,docs/launch/**,EVIDENCE_FREEZE,queued_from_review_queue,ARCHIVE_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,5 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/launch/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,2 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/ldip-integration/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,2 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/ai-led-law-firm-os-development-plan.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/critical-rp-saas-hardening-plan.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/enterprise-v2-loop-roadmap/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/full-spec-microphase-ledger.json/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/full-spec-microphase-ledger.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/goal1-foundation-claude-review-plan.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/hro-deel-parity/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/hrx-integration/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/hrx-weighted-implementation-ledger.json/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/hrx-weighted-implementation-ledger.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/law-firm-os-implementation-plan.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P4,docs/ldip-integration/**,EVIDENCE_FREEZE,queued_from_review_queue,REVIEW_AFTER_FINAL_RECEIPT,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/matter-pack-integration/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/rp00-product-constitution-ai-control-plane-detailed-microphases.json/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/rp00-product-constitution-ai-control-plane-detailed-microphases.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/rp01-core-domain-detailed-microphases.json/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
2026-07-06,P3,docs/rp01-core-domain-detailed-microphases.md/**,PLAN_REBASE,queued_from_review_queue,SUPERSEDED_REVIEW,workbook/document-hygiene/current-state-doc-map-2026-07-06.md,no_change_false,1 rows in review queue; use folder-level overlay or evidence index before any body edits.
