cmp_tuw_id,cmp_gate,cmp_gate_name,cmp_workstream,cmp_task,risk,priority,runtime_readiness_target,integration_order,implementation_batch,repo_absorption_lane,existing_lfos_anchor,github_history_unit,runtime_claim_rule,status
CMP-G0-W00-T011,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,module boundary map 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-module-boundary-map-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T012,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,duplicate denylist 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-duplicate-denylist-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T013,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,state machine master catalog 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-state-machine-master-catalog-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T014,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,audit event taxonomy master 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-audit-event-taxonomy-master-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T015,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,API route contract template 작성,Medium,P1,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-api-route-contract-template-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T016,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,idempotency command policy 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-idempotency-command-policy-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T017,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,UI information architecture decision 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-ui-information-architecture-decision-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T018,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,test/evidence artifact convention 작성,Medium,P1,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-test-evidence-artifact-convention-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T019,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,PR slicing and branch naming convention 작성,Medium,P1,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-pr-slicing-and-branch-naming-convention-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T020,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,developer handoff checklist 작성,High,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-developer-handoff-checklist-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G0-W00-T021,CMP-G0,Product Governance & Architecture Freeze,W00 Governance & Architecture Freeze,G0 closeout report 작성,Medium,P0,R1,01,B01-cmp-governance-freeze,docs/reorganization/client-matter-os; governance ADRs; runtime readiness standard,LFOS-G0-W00-T001..LFOS-G0-W00-T010,branch codex/lawos-cmp-g0-w00; commit/PR slice cmp-g0-w00-g0-closeout-report-작성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T001,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,tenant boundary middleware runtime 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-tenant-boundary-middleware-runtime-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T002,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,actor context resolver 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-actor-context-resolver-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T003,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,service principal context 구현,High,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-service-principal-context-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T004,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,PermissionContext persistence 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-permissioncontext-persistence-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T005,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,policy store runtime 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-policy-store-runtime-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T006,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,permission evaluator API 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-permission-evaluator-api-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T007,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,allow/deny/review/approval decision receipt 구현,High,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-allow-deny-review-approval-decision-receipt-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T008,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,deny-over-allow regression suite 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-deny-over-allow-regression-suite-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T009,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,ObjectACL model/runtime 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-objectacl-model-runtime-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T010,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,Matter-level ACL middleware 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-matter-level-acl-middleware-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T011,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,ethical wall runtime evaluator 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-ethical-wall-runtime-evaluator-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T012,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,legal hold runtime evaluator 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-legal-hold-runtime-evaluator-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T013,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,break-glass request/approval flow 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-break-glass-request-approval-flow-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T014,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,durable audit event schema migration 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-durable-audit-event-schema-migration-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T015,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,append-only audit store adapter 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-append-only-audit-store-adapter-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T016,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,audit middleware before/after write 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-audit-middleware-before-after-write-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T017,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,sensitive read audit hook 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-sensitive-read-audit-hook-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T018,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,audit hash-chain verification job 구현,High,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-audit-hash-chain-verification-job-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T019,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,audit export API 구현,High,P1,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-audit-export-api-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T020,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,admin permission simulator 구현,Medium,P1,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-admin-permission-simulator-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T021,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,safe error taxonomy 구현,High,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-safe-error-taxonomy-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T022,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,tenant leak negative tests 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-tenant-leak-negative-tests-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T023,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,audit completeness test harness 구현,Critical,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-audit-completeness-test-harness-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G1-W01-T024,CMP-G1,Trust Foundation Runtime,W01 Platform / IAM / Audit Runtime,G1 trust foundation gate report 생성,High,P0,R4,02,B02-trust-foundation-runtime,packages/authz; packages/audit; apps/api middleware; docs/reorganization/client-matter-os G1 reports,LFOS-G1-W01-T001..LFOS-G1-W01-T016,branch codex/lawos-cmp-g1-w01; commit/PR slice cmp-g1-w01-g1-trust-foundation-gate-report-생성,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T001,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,Party schema + migration 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-party-schema-migration-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T002,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,Person schema + duplicate warning 구현,Medium,P1,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-person-schema-duplicate-warning-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T003,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,Organization schema + registration uniqueness 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-organization-schema-registration-uniqueness-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T004,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,PartyAlias multi-locale search 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-partyalias-multi-locale-search-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T005,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,PartyIdentifier validation 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-partyidentifier-validation-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T006,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,ClientGroup runtime 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-clientgroup-runtime-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T007,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,Relationship runtime graph 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-relationship-runtime-graph-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T008,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,Relationship search API 구현,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-relationship-search-api-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T009,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,ContactPoint runtime 구현,Medium,P1,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-contactpoint-runtime-구현,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
CMP-G2-W02-T010,CMP-G2,Party & Client Master Runtime,W02 Party & Client Master Runtime,BillingProfile owner 확정 반영,High,P0,R4,03,B03a-party-client-master-runtime,packages/master-data; apps/api master-data routes; apps/web party/client surfaces,LFOS-G2-W02-T001..LFOS-G2-W02-T014,branch codex/lawos-cmp-g2-w02; commit/PR slice cmp-g2-w02-billingprofile-owner-확정-반영,planning-only until row evidence proves persistence/write API/permission/audit/state/idempotency and gate validator passes,planned_extension
