screenshot_id,source_file,flow_id,screen_family,implementation_phase,matter_route,audit_status,lowres_similarity,changed_pixel_ratio,white_ratio_delta,blue_ratio_delta,brightness_delta,audit_note
30,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 30.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9665,0.0845,0.1434,0.0016,2.09,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
31,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 31.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9646,0.0928,0.1594,0.0035,2.71,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
32,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 32.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9641,0.0957,0.1614,0.0014,2.84,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
33,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 33.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9632,0.098,0.1643,0.003,3.08,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
34,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 34.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9652,0.0901,0.1488,0.0051,2.48,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
35,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 35.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9656,0.0816,0.0784,0.0007,1.27,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
36,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 36.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.9656,0.0847,0.0981,0.0019,1.56,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
37,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 37.png,home-actions,Home menus and resources,P3 home dashboards and templates,/?locale=ko&view=home&query=atlas,pixel_baseline_close,0.964,0.0944,0.099,0.0007,2.19,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
38,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 38.png,ask-entry,Ask Amplitude prompt gallery,"P8 Ask matter, cohorts, replay, experiments, flags",/?locale=ko&view=ask,pixel_baseline_close,0.965,0.0749,0.1763,0.003,0.68,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
39,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 39.png,ask-entry,Ask Amplitude prompt gallery,"P8 Ask matter, cohorts, replay, experiments, flags",/?locale=ko&view=ask,pixel_baseline_close,0.9635,0.0737,0.2281,0.008,0.21,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
40,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 40.png,ask-entry,Ask Amplitude prompt gallery,"P8 Ask matter, cohorts, replay, experiments, flags",/?locale=ko&view=ask,pixel_baseline_close,0.9643,0.0718,0.2316,0.0069,0.11,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
41,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 41.png,segmentation-basic,Segmentation builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9606,0.1002,0.1319,0.0327,0.95,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
42,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 42.png,segmentation-basic,Segmentation builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9602,0.0985,0.1055,0.0324,0.73,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
43,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 43.png,segmentation-basic,Segmentation builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.96,0.0984,0.1054,0.0324,0.68,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
44,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 44.png,segmentation-basic,Segmentation builder,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9604,0.0994,0.1289,0.0327,0.93,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
45,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 45.png,save-chart-modal,Save chart modal,P6 matter analytics builder,/?locale=en&view=analytics&modal=save,pixel_baseline_close,0.912,0.147,0.0541,0.0034,4.58,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
46,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 46.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9594,0.102,0.1131,0.0318,0.61,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
47,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 47.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9616,0.0916,0.1782,0.029,1.68,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
48,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 48.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9602,0.1007,0.1295,0.0316,0.8,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
49,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 49.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.96,0.1013,0.1473,0.0278,0.87,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
50,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 50.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9603,0.0996,0.1534,0.0302,1.02,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
51,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 51.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9602,0.0993,0.145,0.0314,1.11,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
52,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 52.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9589,0.1044,0.1397,0.0171,0.49,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
53,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 53.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9594,0.1027,0.1422,0.0289,0.62,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
54,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 54.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9597,0.1021,0.1531,0.0292,0.78,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
55,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 55.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.96,0.103,0.1448,0.0314,0.85,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
56,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 56.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9596,0.1032,0.1415,0.0307,0.59,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
57,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 57.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9597,0.1032,0.1486,0.0307,0.84,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
58,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 58.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9612,0.0931,0.2103,0.0306,2.2,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
59,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 59.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9513,0.139,0.0785,0.0204,1.96,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
60,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 60.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.958,0.1105,0.1106,0.0314,0.19,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
61,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 61.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9588,0.1098,0.1062,0.0316,0.24,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
62,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 62.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9597,0.1056,0.1078,0.0317,0.47,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
63,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 63.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.959,0.1024,0.1091,0.0306,0.51,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
64,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 64.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9592,0.1045,0.1195,0.0309,0.55,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
65,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 65.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9602,0.0986,0.1384,0.0335,1.15,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
66,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 66.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9505,0.1206,0.0832,0.0205,1.8,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
67,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 67.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9409,0.137,0.0957,0.0104,4.23,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
68,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 68.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9553,0.1187,0.1074,0.0241,0.49,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
69,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 69.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9571,0.1111,0.0884,0.0284,0.33,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
70,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 70.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9576,0.1098,0.0993,0.0281,0.2,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
71,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 71.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9608,0.0989,0.1282,0.0299,0.91,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
72,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 72.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9595,0.1051,0.1327,0.0314,0.61,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
73,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 73.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9536,0.119,0.1234,0.0314,0.93,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
74,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 74.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9583,0.106,0.0999,0.0302,0.25,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
75,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 75.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9553,0.1085,0.0128,0.0245,1.58,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
76,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 76.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9532,0.1093,0.0002,0.0239,1.2,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
77,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 77.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9533,0.1095,0.0049,0.0222,1.3,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
78,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 78.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9529,0.1111,0.0066,0.0222,1.4,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
79,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 79.png,segmentation-advanced,Segmentation advanced states,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9535,0.1085,0.0026,0.0272,1.11,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
80,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 80.png,chart-type-modal,Chart type modal,P6 matter analytics builder,/?locale=en&view=analytics&modal=chartType,pixel_baseline_close,0.8999,0.1743,0.0625,0.0034,7.47,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
81,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 81.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9561,0.0876,0.1454,0.0341,1.39,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
82,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 82.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9628,0.0845,0.2749,0.0277,3.13,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
83,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 83.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9578,0.1082,0.0849,0.0301,0.06,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
84,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 84.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9572,0.1113,0.0807,0.0315,0.24,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
85,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 85.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.958,0.1049,0.0904,0.0314,0.09,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
86,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 86.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.958,0.1058,0.1002,0.0301,0.13,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
87,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 87.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9542,0.1148,0.1049,0.0318,0.75,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
88,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 88.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9629,0.088,0.2751,0.0284,2.5,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
89,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 89.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.963,0.0871,0.2748,0.027,2.29,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
90,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 90.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.9629,0.087,0.2949,0.0336,3.18,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
91,Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 91.png,segmentation-output,Segmentation output and custom events,P6 matter analytics builder,/?locale=en&view=analytics,pixel_baseline_close,0.963,0.087,0.2942,0.0335,3.17,Route/state exists and low-resolution layout/color metrics are within the current baseline threshold.
