"screenshot_id","flow_id","screen_family","implementation_phase","state_family","matter_route","expected_text","verification_tier","next_gate"
"18","home-guidance","Guidance overlays","P3 home dashboards and templates","home guidance modal/popover family","/?locale=en&view=home&variant=tour","What's New","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"19","home-guidance","Guidance overlays","P3 home dashboards and templates","home guidance modal/popover family","/?locale=en&view=home&variant=tour","What's New","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"20","home-widgets","Dashboard widgets","P3 home dashboards and templates","home widget grid","/?locale=ko&view=home","실시간 게이지","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"21","home-widgets","Dashboard widgets","P3 home dashboards and templates","home widget grid","/?locale=ko&view=home","실시간 게이지","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"22","home-widgets","Dashboard widgets","P3 home dashboards and templates","home widget grid","/?locale=ko&view=home","실시간 게이지","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"23","home-widgets","Dashboard widgets","P3 home dashboards and templates","home widget grid","/?locale=ko&view=home","실시간 게이지","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"24","home-widgets","Dashboard widgets","P3 home dashboards and templates","home widget grid","/?locale=ko&view=home","실시간 게이지","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"25","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"26","home-actions","Home menus and resources","P3 home dashboards and templates","home annotation modal","/?locale=en&view=home&modal=annotation","New Annotation","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"27","home-actions","Home menus and resources","P3 home dashboards and templates","home annotation modal","/?locale=en&view=home&modal=annotation","New Annotation","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"28","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"29","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"30","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"31","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"32","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"33","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"34","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"35","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"36","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"37","home-actions","Home menus and resources","P3 home dashboards and templates","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"38","ask-entry","Ask Amplitude prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","Ask prompt gallery","/?locale=ko&view=ask","matter에게 질문","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"39","ask-entry","Ask Amplitude prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","Ask prompt gallery","/?locale=ko&view=ask","matter에게 질문","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"40","ask-entry","Ask Amplitude prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","Ask prompt gallery","/?locale=ko&view=ask","matter에게 질문","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"41","segmentation-basic","Segmentation builder","P6 matter analytics builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"42","segmentation-basic","Segmentation builder","P6 matter analytics builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"43","segmentation-basic","Segmentation builder","P6 matter analytics builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"44","segmentation-basic","Segmentation builder","P6 matter analytics builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"45","save-chart-modal","Save chart modal","P6 matter analytics builder","save chart modal","/?locale=en&view=analytics&modal=save","Save Chart","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"46","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"47","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"48","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"49","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"50","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"51","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"52","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"53","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"54","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"55","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"56","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"57","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"58","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"59","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"60","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"61","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"62","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"63","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"64","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"65","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"66","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"67","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"68","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"69","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"70","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"71","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"72","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"73","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"74","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"75","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"76","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"77","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"78","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"79","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","advanced builder states","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"80","chart-type-modal","Chart type modal","P6 matter analytics builder","chart type modal","/?locale=en&view=analytics&modal=chartType","Choose chart type","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"81","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"82","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"83","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"84","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"85","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"86","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"87","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"88","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"89","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"90","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"91","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"92","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"93","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"94","segmentation-output","Segmentation output and custom events","P6 matter analytics builder","segmentation output","/?locale=en&view=analytics","Result Table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"95","share-save-modals","Share and save modals","P6 matter analytics builder","share modal blank","/?locale=en&view=analytics&modal=share","Add people","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"96","share-save-modals","Share and save modals","P6 matter analytics builder","share modal invite recipient","/?locale=en&view=analytics&modal=shareInvite","Alex Smith","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"97","share-save-modals","Share and save modals","P6 matter analytics builder","share success toast","/?locale=en&view=analytics&variant=shareToast","Success. Shared","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"98","share-save-modals","Share and save modals","P6 matter analytics builder","share modal history","/?locale=en&view=analytics&modal=shareHistory","Last Viewed","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"99","share-save-modals","Share and save modals","P6 matter analytics builder","save chart selected-card modal","/?locale=en&view=analytics&modal=saveChartCard","Page Views by Unique Users","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"100","share-save-modals","Share and save modals","P6 matter analytics builder","save chart suggested-name modal","/?locale=en&view=analytics&modal=saveChartSuggest","Suggest","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"101","share-save-modals","Share and save modals","P6 matter analytics builder","save chart report dropdown","/?locale=en&view=analytics&modal=saveChartReportDropdown","Create a new dashboard","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"102","share-save-modals","Share and save modals","P6 matter analytics builder","save chart selected-report modal","/?locale=en&view=analytics&modal=saveChartReportSelected","Untitled Dashboard - Dec 16","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"103","chart-page-empty-table","Chart and data table entry","P6 matter analytics builder","chart/data-table entry and metric modal","/?locale=en&view=analytics&variant=dataTable","Start your data table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"104","chart-page-empty-table","Chart and data table entry","P6 matter analytics builder","chart/data-table entry and metric modal","/?locale=en&view=analytics&variant=dataTable","Start your data table","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"105","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"106","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"107","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"108","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"109","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"110","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"111","funnel-analysis","Funnel analysis","P6 matter analytics builder","funnel analysis family","/?locale=en&view=analytics","Funnel","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"112","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"113","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"114","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"115","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","metric definition modal empty","/?locale=en&view=analytics&variant=dataTable&modal=metricUntitled","Untitled metric","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"116","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","metric definition modal named","/?locale=en&view=analytics&variant=dataTable&modal=metricNamed","Sign ups per day","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"117","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","metric event picker modal","/?locale=en&view=analytics&variant=dataTable&modal=metricPicker","Any Active Event","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"118","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","metric preview modal","/?locale=en&view=analytics&variant=dataTable&modal=metricPreview","Current Uniques","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"119","data-table-and-metric","Data table and metric setup","P6 matter analytics builder","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"120","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"121","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"122","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"123","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"124","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"125","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"126","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"127","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"128","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"129","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"130","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"131","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"132","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"133","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"134","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"135","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"136","data-table-heatmap","Data table heatmap","P6 matter analytics builder","data table heatmap family","/?locale=en&view=analytics","Recommendations","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"137","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"138","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"139","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"140","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"141","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"142","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"143","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"144","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
"145","retention-and-journeys","Retention and journey builder","P6 matter analytics builder","retention and journey builder","/?locale=en&view=analytics","Journeys","state_route_defined","Run registry verification, then add screenshot-specific pixel comparison for this state."
