"screenshot_id","flow_id","screen_family","implementation_phase","foundation_status","route_verification_tier","route_verified","evidence_surface","evidence_captures","next_gate"
"17","home-guidance","Guidance overlays","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"18","home-guidance","Guidance overlays","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"19","home-guidance","Guidance overlays","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"20","home-widgets","Dashboard widgets","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"21","home-widgets","Dashboard widgets","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"22","home-widgets","Dashboard widgets","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"23","home-widgets","Dashboard widgets","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"24","home-widgets","Dashboard widgets","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"25","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"26","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"27","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"28","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"29","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"30","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"31","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"32","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"33","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"34","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"35","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"36","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"37","home-actions","Home menus and resources","P3 home dashboards and templates","representative_verified","screenshot_state_route_verified","true","Home dashboard, metric cards, charts, tables, templates, guided setup","phase-00-render-desktop-ko.png; phase-00-render-desktop-en.png; phase-00-render-mobile-ko.png; phase-00-render-mobile-en.png; phase-p3-home-tour-desktop-en.png; phase-p3-annotation-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"38","ask-entry","Ask Amplitude prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","representative_verified","screenshot_state_route_verified","true","Ask prompt gallery, answer surface, experiment table, variant editor, rollout modal","phase-p8-ask-desktop-ko.png; phase-p8-ask-retention-desktop-en.png; phase-p8-ask-feedback-modal-desktop-en.png; phase-p8-cohorts-replay-desktop-en.png; phase-p8-experiments-desktop-en.png; phase-p8-experiment-overview-cards-desktop-en.png; phase-p8-experiment-builder-desktop-en.png; phase-p8-new-experiment-modal-desktop-en.png; phase-p8-opening-tab-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"39","ask-entry","Ask Amplitude prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","representative_verified","screenshot_state_route_verified","true","Ask prompt gallery, answer surface, experiment table, variant editor, rollout modal","phase-p8-ask-desktop-ko.png; phase-p8-ask-retention-desktop-en.png; phase-p8-ask-feedback-modal-desktop-en.png; phase-p8-cohorts-replay-desktop-en.png; phase-p8-experiments-desktop-en.png; phase-p8-experiment-overview-cards-desktop-en.png; phase-p8-experiment-builder-desktop-en.png; phase-p8-new-experiment-modal-desktop-en.png; phase-p8-opening-tab-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"40","ask-entry","Ask Amplitude prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","representative_verified","screenshot_state_route_verified","true","Ask prompt gallery, answer surface, experiment table, variant editor, rollout modal","phase-p8-ask-desktop-ko.png; phase-p8-ask-retention-desktop-en.png; phase-p8-ask-feedback-modal-desktop-en.png; phase-p8-cohorts-replay-desktop-en.png; phase-p8-experiments-desktop-en.png; phase-p8-experiment-overview-cards-desktop-en.png; phase-p8-experiment-builder-desktop-en.png; phase-p8-new-experiment-modal-desktop-en.png; phase-p8-opening-tab-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"41","segmentation-basic","Segmentation builder","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"42","segmentation-basic","Segmentation builder","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"43","segmentation-basic","Segmentation builder","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"44","segmentation-basic","Segmentation builder","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"45","save-chart-modal","Save chart modal","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"46","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"47","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"48","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"49","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"50","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"51","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"52","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"53","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"54","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"55","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"56","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"57","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"58","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"59","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"60","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"61","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
"62","segmentation-advanced","Segmentation advanced states","P6 matter analytics builder","representative_verified","screenshot_state_route_verified","true","Analysis rail, query blocks, chart area, result table, recommendation panel","phase-p6-analytics-desktop-en.png; phase-p6-data-table-empty-desktop-en.png; phase-p6-data-table-picker-desktop-en.png; phase-p6-save-modal-desktop-en.png; phase-p6-chart-type-modal-desktop-en.png; phase-p6-share-modal-desktop-en.png","Add screenshot-specific state capture and compare exact modal/dropdown/table variants"
