"screenshot_id","flow_id","screen_family","state_family","matter_route","expected_text","route_verified","verification_tier","next_gate"
"13","onboarding-source-selection","Onboarding checklist","onboarding connector checklist","/?locale=en&view=auth&authStep=onboarding","Set up matter","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"14","home-dashboard","Home dashboard","home dashboard","/?locale=ko&view=home","Matter Analytics","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"15","home-dashboard","Home dashboard","home dashboard","/?locale=ko&view=home","Matter Analytics","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"16","home-guidance","Guidance overlays","new navigation tour modal","/?locale=en&view=home&modal=newNavigationTour","Experience the new Amplitude","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"17","home-guidance","Guidance overlays","home guidance modal/popover family","/?locale=en&view=home&variant=tour","What's New","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"18","home-guidance","Guidance overlays","home guidance modal/popover family","/?locale=en&view=home&variant=tour","What's New","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"19","home-guidance","Guidance overlays","home guidance modal/popover family","/?locale=en&view=home&variant=tour","What's New","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"20","home-widgets","Dashboard widgets","home widget grid","/?locale=ko&view=home","실시간 게이지","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"21","home-widgets","Dashboard widgets","home widget grid","/?locale=ko&view=home","실시간 게이지","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"22","home-widgets","Dashboard widgets","home widget grid","/?locale=ko&view=home","실시간 게이지","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"23","home-widgets","Dashboard widgets","home widget grid","/?locale=ko&view=home","실시간 게이지","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"24","home-widgets","Dashboard widgets","home widget grid","/?locale=ko&view=home","실시간 게이지","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"25","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"26","home-actions","Home menus and resources","home annotation modal","/?locale=en&view=home&modal=annotation","New Annotation","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"27","home-actions","Home menus and resources","home annotation modal","/?locale=en&view=home&modal=annotation","New Annotation","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"28","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"29","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"30","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"31","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"32","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"33","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"34","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"35","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"36","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"37","home-actions","Home menus and resources","home menus/search/resource actions","/?locale=ko&view=home&query=atlas","Search ""atlas""","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"38","ask-entry","Ask Amplitude prompt gallery","Ask prompt gallery","/?locale=ko&view=ask","matter에게 질문","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"39","ask-entry","Ask Amplitude prompt gallery","Ask prompt gallery","/?locale=ko&view=ask","matter에게 질문","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"40","ask-entry","Ask Amplitude prompt gallery","Ask prompt gallery","/?locale=ko&view=ask","matter에게 질문","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"41","segmentation-basic","Segmentation builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"42","segmentation-basic","Segmentation builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"43","segmentation-basic","Segmentation builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"44","segmentation-basic","Segmentation builder","segmentation builder","/?locale=en&view=analytics","Untitled Chart","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"45","save-chart-modal","Save chart modal","save chart modal","/?locale=en&view=analytics&modal=save","Save Chart","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"46","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"47","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"48","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"49","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"50","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"51","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"52","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"53","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"54","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"55","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"56","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"57","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"58","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"59","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"60","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"61","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"62","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"63","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"64","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"65","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"66","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"67","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"68","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"69","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"70","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"71","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"72","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"73","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"74","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"75","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"76","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"77","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"78","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"79","segmentation-advanced","Segmentation advanced states","advanced builder states","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"80","chart-type-modal","Chart type modal","chart type modal","/?locale=en&view=analytics&modal=chartType","Choose chart type","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"81","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"82","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"83","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"84","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"85","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"86","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"87","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"88","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"89","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"90","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"91","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"92","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"93","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"94","segmentation-output","Segmentation output and custom events","segmentation output","/?locale=en&view=analytics","Result Table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"95","share-save-modals","Share and save modals","share modal blank","/?locale=en&view=analytics&modal=share","Add people","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"96","share-save-modals","Share and save modals","share modal invite recipient","/?locale=en&view=analytics&modal=shareInvite","Alex Smith","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"97","share-save-modals","Share and save modals","share success toast","/?locale=en&view=analytics&variant=shareToast","Success. Shared","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"98","share-save-modals","Share and save modals","share modal history","/?locale=en&view=analytics&modal=shareHistory","Last Viewed","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"99","share-save-modals","Share and save modals","save chart selected-card modal","/?locale=en&view=analytics&modal=saveChartCard","Page Views by Unique Users","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"100","share-save-modals","Share and save modals","save chart suggested-name modal","/?locale=en&view=analytics&modal=saveChartSuggest","Suggest","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"101","share-save-modals","Share and save modals","save chart report dropdown","/?locale=en&view=analytics&modal=saveChartReportDropdown","Create a new dashboard","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"102","share-save-modals","Share and save modals","save chart selected-report modal","/?locale=en&view=analytics&modal=saveChartReportSelected","Untitled Dashboard - Dec 16","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"103","chart-page-empty-table","Chart and data table entry","chart/data-table entry and metric modal","/?locale=en&view=analytics&variant=dataTable","Start your data table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"104","chart-page-empty-table","Chart and data table entry","chart/data-table entry and metric modal","/?locale=en&view=analytics&variant=dataTable","Start your data table","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"105","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"106","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"107","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"108","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"109","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"110","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"111","funnel-analysis","Funnel analysis","funnel analysis family","/?locale=en&view=analytics","Funnel","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"112","data-table-and-metric","Data table and metric setup","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"113","data-table-and-metric","Data table and metric setup","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"114","data-table-and-metric","Data table and metric setup","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"115","data-table-and-metric","Data table and metric setup","metric definition modal empty","/?locale=en&view=analytics&variant=dataTable&modal=metricUntitled","Untitled metric","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"116","data-table-and-metric","Data table and metric setup","metric definition modal named","/?locale=en&view=analytics&variant=dataTable&modal=metricNamed","Sign ups per day","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"117","data-table-and-metric","Data table and metric setup","metric event picker modal","/?locale=en&view=analytics&variant=dataTable&modal=metricPicker","Any Active Event","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"118","data-table-and-metric","Data table and metric setup","metric preview modal","/?locale=en&view=analytics&variant=dataTable&modal=metricPreview","Current Uniques","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"119","data-table-and-metric","Data table and metric setup","data table and metric setup","/?locale=en&view=analytics&variant=dataTablePicker","Select or Define a Metric","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"120","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"121","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"122","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"123","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"124","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"125","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"126","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"127","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"128","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"129","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"130","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"131","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"132","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"133","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"134","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"135","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"136","data-table-heatmap","Data table heatmap","data table heatmap family","/?locale=en&view=analytics","Recommendations","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
"137","retention-and-journeys","Retention and journey builder","retention and journey builder","/?locale=en&view=analytics","Journeys","true","screenshot_state_route_verified","Capture this exact screenshot-state and compare pixel/layout drift against the Amplitude source screenshot."
