screenshot_id,file,flow_id,screen_family,screen_type,ui_elements,matter_destination,implementation_phase,coverage_status,coverage_rule
"13","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 13.png","onboarding-source-selection","Onboarding checklist","set up product onboarding with source cards, checklists, progress bar, and workspace chrome","onboarding checklist; progress indicator; source cards; table list; top action row","matter setup checklist for DMS, billing, audit, client portal integrations","P2 auth and onboarding flow","planned","must be implemented or componentized; do not ignore"
"14","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 14.png","home-dashboard","Home dashboard","main dashboard with topbar, sidebar, metrics, line chart, realtime gauge, template cards","topbar; left nav; metric cards; line chart; realtime gauge; templates; resource menu","matter home overview","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"15","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 15.png","home-dashboard","Home dashboard","main dashboard with topbar, sidebar, metrics, line chart, realtime gauge, template cards","topbar; left nav; metric cards; line chart; realtime gauge; templates; resource menu","matter home overview","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"16","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 16.png","home-guidance","Guidance overlays","tutorial video modal, checklist popover, success/info tooltip, realtime gauge tooltip","video modal; popover; tooltip; toast; guided setup","guided onboarding and contextual coaching","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"17","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 17.png","home-guidance","Guidance overlays","tutorial video modal, checklist popover, success/info tooltip, realtime gauge tooltip","video modal; popover; tooltip; toast; guided setup","guided onboarding and contextual coaching","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"18","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 18.png","home-guidance","Guidance overlays","tutorial video modal, checklist popover, success/info tooltip, realtime gauge tooltip","video modal; popover; tooltip; toast; guided setup","guided onboarding and contextual coaching","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"19","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 19.png","home-guidance","Guidance overlays","tutorial video modal, checklist popover, success/info tooltip, realtime gauge tooltip","video modal; popover; tooltip; toast; guided setup","guided onboarding and contextual coaching","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"20","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 20.png","home-widgets","Dashboard widgets","home card variants for top pages, map, session replay, funnel, empty/realtime panels","table card; map card; session replay card; funnel chart; empty card","matter dashboard widget library","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"21","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 21.png","home-widgets","Dashboard widgets","home card variants for top pages, map, session replay, funnel, empty/realtime panels","table card; map card; session replay card; funnel chart; empty card","matter dashboard widget library","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"22","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 22.png","home-widgets","Dashboard widgets","home card variants for top pages, map, session replay, funnel, empty/realtime panels","table card; map card; session replay card; funnel chart; empty card","matter dashboard widget library","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"23","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 23.png","home-widgets","Dashboard widgets","home card variants for top pages, map, session replay, funnel, empty/realtime panels","table card; map card; session replay card; funnel chart; empty card","matter dashboard widget library","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"24","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 24.png","home-widgets","Dashboard widgets","home card variants for top pages, map, session replay, funnel, empty/realtime panels","table card; map card; session replay card; funnel chart; empty card","matter dashboard widget library","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"25","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 25.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"26","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 26.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"27","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 27.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"28","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 28.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"29","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 29.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"30","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 30.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"31","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 31.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"32","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 32.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"33","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 33.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"34","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 34.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"35","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 35.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"36","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 36.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"37","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 37.png","home-actions","Home menus and resources","home dashboard with dropdowns, side resource panels, date filters, template carousel, setup side panels","dropdown menu; right side drawer; date range menu; template carousel; filter control; resource card","dashboard controls, resource drawer, and workspace actions","P3 home dashboards and templates","planned","must be implemented or componentized; do not ignore"
"38","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 38.png","ask-entry","Ask Amplitude prompt gallery","AI prompt cards and initial chat-like entry surface","AI prompt card; prompt input; suggested question grid; empty state","Ask matter prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","planned","must be implemented or componentized; do not ignore"
"39","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 39.png","ask-entry","Ask Amplitude prompt gallery","AI prompt cards and initial chat-like entry surface","AI prompt card; prompt input; suggested question grid; empty state","Ask matter prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","planned","must be implemented or componentized; do not ignore"
"40","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 40.png","ask-entry","Ask Amplitude prompt gallery","AI prompt cards and initial chat-like entry surface","AI prompt card; prompt input; suggested question grid; empty state","Ask matter prompt gallery","P8 Ask matter, cohorts, replay, experiments, flags","planned","must be implemented or componentized; do not ignore"
"41","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 41.png","segmentation-basic","Segmentation builder","chart builder with left analysis rail, event selection, metrics, line chart, result table","analysis type tabs; event block; measure grid; segment card; chart toolbar; breakdown table","matter analytics segmentation","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"42","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 42.png","segmentation-basic","Segmentation builder","chart builder with left analysis rail, event selection, metrics, line chart, result table","analysis type tabs; event block; measure grid; segment card; chart toolbar; breakdown table","matter analytics segmentation","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"43","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 43.png","segmentation-basic","Segmentation builder","chart builder with left analysis rail, event selection, metrics, line chart, result table","analysis type tabs; event block; measure grid; segment card; chart toolbar; breakdown table","matter analytics segmentation","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"44","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 44.png","segmentation-basic","Segmentation builder","chart builder with left analysis rail, event selection, metrics, line chart, result table","analysis type tabs; event block; measure grid; segment card; chart toolbar; breakdown table","matter analytics segmentation","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"45","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 45.png","save-chart-modal","Save chart modal","save chart modal with plan notice, name field, location select, add-to-report link, footer actions","modal overlay; plan notice; input with suggest; location select; modal footer","save matter chart","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"46","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 46.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"47","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 47.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"48","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 48.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"49","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 49.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"50","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 50.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"51","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 51.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"52","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 52.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"53","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 53.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"54","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 54.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"55","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 55.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"56","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 56.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"57","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 57.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"58","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 58.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"59","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 59.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"60","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 60.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"61","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 61.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"62","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 62.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"63","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 63.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"64","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 64.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"65","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 65.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"66","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 66.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"67","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 67.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"68","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 68.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"69","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 69.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"70","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 70.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"71","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 71.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"72","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 72.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"73","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 73.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"74","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 74.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"75","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 75.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"76","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 76.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"77","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 77.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"78","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 78.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"79","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 79.png","segmentation-advanced","Segmentation advanced states","segmentation chart states for filters, group-by, date picker, chart type, compare, export, save, side panels","property dropdown; filter popover; date picker; chart type selector; export CSV; recommendation panel; custom event drawer","advanced matter analytics builder states","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"80","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 80.png","chart-type-modal","Chart type modal","choose chart type modal with visual options","modal; chart option tiles; dimmed backdrop","chart visualization picker","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
"81","Law Firm OS UI/Amplitude web Feb 2025/Amplitude web Feb 2025 81.png","segmentation-output","Segmentation output and custom events","resulting chart views, custom event sidecar, export, success toast, empty/recommendation states","line chart result; table result; side panel; success toast; recommendation drawer; custom event panel","analytics result review and event definition sidecar","P6 matter analytics builder","planned","must be implemented or componentized; do not ignore"
