tuw_id,gate,pr_wave,priority,classification,target_path,implemented_by,loop_stream
"MV-G1-W01-T012","MV-G1","PR-02","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/persistence-report.md","docs/reorganization/client-matter-os/matter-vault-r4/persistence-report.md","MV-H2-persistence-target-mapping"
"MV-G2-W02-T001","MV-G2","PR-03/04","P0","implemented_literal","packages/matter/src/matter-vault-link-repository.js","packages/matter/src/matter-vault-link-repository.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T002","MV-G2","PR-03/04","P0","implemented_literal","packages/matter/src/matter-opening-orchestrator.js","packages/matter/src/matter-opening-orchestrator.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T003","MV-G2","PR-03/04","P0","implemented_literal","packages/matter/src/matter-opening-service.js","packages/matter/src/matter-opening-service.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T004","MV-G2","PR-03/04","P0","implemented_literal","packages/dms/src/vault-workspace-service.js","packages/dms/src/vault-workspace-service.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T005","MV-G2","PR-03/04","P0","implemented_literal","packages/dms/src/folder-template-service.js","packages/dms/src/folder-template-service.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T006","MV-G2","PR-03/04","P0","implemented_literal","packages/authz/src/matter-permission-envelope.js","packages/authz/src/matter-permission-envelope.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T007","MV-G2","PR-03/04","P0","implemented_literal","packages/matter/src/matter-vault-link.js","packages/matter/src/matter-vault-link.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T008","MV-G2","PR-03/04","P1","implemented_literal","packages/dms/src/vault-workspace-repository.js","packages/dms/src/vault-workspace-repository.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T009","MV-G2","PR-03/04","P1","implemented_literal","packages/platform/src/persistence/outbox.js","packages/platform/src/persistence/outbox.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T010","MV-G2","PR-03/04","P1","implemented_literal","apps/api/src/routes/matters.js","apps/api/src/routes/matters.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T011","MV-G2","PR-03/04","P1","implemented_literal","apps/api/src/routes/vault.js","apps/api/src/routes/vault.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T012","MV-G2","PR-03/04","P1","implemented_literal","apps/api/test/e2e/matter-opening-vault.test.js","apps/api/test/e2e/matter-opening-vault.test.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T013","MV-G2","PR-03/04","P1","implemented_literal","apps/api/test/e2e/matter-vault-rollback.test.js","apps/api/test/e2e/matter-vault-rollback.test.js","MV-H3-opening-api-hardening"
"MV-G2-W02-T014","MV-G2","PR-03/04","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/opening-report.md","docs/reorganization/client-matter-os/matter-vault-r4/opening-report.md","MV-H3-opening-api-hardening"
"MV-G3-W03-T001","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/storage/storage-adapter.js","packages/dms/src/storage/storage-adapter.js","MV-H3-document-api-hardening"
"MV-G3-W03-T002","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/storage/local-storage-adapter.js","packages/dms/src/storage/local-storage-adapter.js","MV-H3-document-api-hardening"
"MV-G3-W03-T003","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/storage/s3-storage-adapter.js","packages/dms/src/storage/s3-storage-adapter.js","MV-H3-document-api-hardening"
"MV-G3-W03-T004","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/storage/sharepoint-storage-adapter.js","packages/dms/src/storage/sharepoint-storage-adapter.js","MV-H3-document-api-hardening"
"MV-G3-W03-T005","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/file-object-repository.js","packages/dms/src/file-object-repository.js","MV-H3-document-api-hardening"
"MV-G3-W03-T006","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/document-repository.js","packages/dms/src/document-repository.js","MV-H3-document-api-hardening"
"MV-G3-W03-T007","MV-G3","PR-05","P0","implemented_literal","packages/dms/src/version-repository.js","packages/dms/src/version-repository.js","MV-H3-document-api-hardening"
"MV-G3-W03-T008","MV-G3","PR-05","P1","implemented_literal","packages/dms/src/document-service.js","packages/dms/src/document-service.js","MV-H3-document-api-hardening"
"MV-G3-W03-T009","MV-G3","PR-05","P1","implemented_literal","packages/dms/src/hash-lineage-service.js","packages/dms/src/hash-lineage-service.js","MV-H3-document-api-hardening"
"MV-G3-W03-T010","MV-G3","PR-05","P1","implemented_literal","packages/dms/src/version-service.js","packages/dms/src/version-service.js","MV-H3-document-api-hardening"
"MV-G3-W03-T011","MV-G3","PR-05","P1","implemented_literal","packages/dms/src/checkout-lock-service.js","packages/dms/src/checkout-lock-service.js","MV-H3-document-api-hardening"
"MV-G3-W03-T012","MV-G3","PR-05","P1","implemented_literal","apps/api/src/routes/vault.js","apps/api/src/routes/vault.js","MV-H3-document-api-hardening"
"MV-G3-W03-T013","MV-G3","PR-05","P1","implemented_literal","apps/api/src/routes/vault.js","apps/api/src/routes/vault.js","MV-H3-document-api-hardening"
"MV-G3-W03-T014","MV-G3","PR-05","P1","implemented_literal","apps/api/test/e2e/vault-storage-security.test.js","apps/api/test/e2e/vault-storage-security.test.js","MV-H3-document-api-hardening"
"MV-G3-W03-T015","MV-G3","PR-05","P1","implemented_literal","packages/dms/test/hash-lineage.test.js","packages/dms/test/hash-lineage.test.js","MV-H3-document-api-hardening"
"MV-G3-W03-T016","MV-G3","PR-05","P2","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/document-runtime-report.md","docs/reorganization/client-matter-os/matter-vault-r4/document-runtime-report.md","MV-H3-document-api-hardening"
"MV-G4-W04-T001","MV-G4","PR-06","P0","implemented_literal","packages/dms/src/vault-permission-service.js","packages/dms/src/vault-permission-service.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T002","MV-G4","PR-06","P0","implemented_literal","packages/authz/src/vault-object-acl.js","packages/authz/src/vault-object-acl.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T003","MV-G4","PR-06","P0","implemented_literal","packages/dms/src/privilege-label-service.js","packages/dms/src/privilege-label-service.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T004","MV-G4","PR-06","P0","implemented_literal","packages/dms/src/legal-hold-service.js","packages/dms/src/legal-hold-service.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T005","MV-G4","PR-06","P0","implemented_literal","packages/dms/src/retention-policy-service.js","packages/dms/src/retention-policy-service.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T006","MV-G4","PR-06","P0","implemented_literal","apps/api/src/middleware/sensitive-read-audit.js","apps/api/src/middleware/sensitive-read-audit.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T007","MV-G4","PR-06","P0","implemented_literal","packages/dms/src/document-service.js","packages/dms/src/document-service.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T008","MV-G4","PR-06","P1","implemented_literal","packages/dms/src/storage/download-service.js","packages/dms/src/storage/download-service.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T009","MV-G4","PR-06","P1","implemented_literal","packages/dms/src/legal-hold-guard.js","packages/dms/src/legal-hold-guard.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T010","MV-G4","PR-06","P1","implemented_literal","packages/dms/src/vault-projection.js","packages/dms/src/vault-projection.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T011","MV-G4","PR-06","P1","implemented_literal","apps/api/test/security/matter-vault-tenant-leak.test.js","apps/api/test/security/matter-vault-tenant-leak.test.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T012","MV-G4","PR-06","P1","implemented_literal","apps/api/test/security/matter-vault-ethical-wall.test.js","apps/api/test/security/matter-vault-ethical-wall.test.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T013","MV-G4","PR-06","P1","implemented_literal","apps/api/test/security/matter-vault-legal-hold.test.js","apps/api/test/security/matter-vault-legal-hold.test.js","MV-H4-security-audit-hardening"
"MV-G4-W04-T014","MV-G4","PR-06","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/permission-audit-report.md","docs/reorganization/client-matter-os/matter-vault-r4/permission-audit-report.md","MV-H4-security-audit-hardening"
"MV-G5-W05-T001","MV-G5","PR-08","P0","implemented_literal","packages/dms/src/search/index-repository.js","packages/dms/src/search/index-repository.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T002","MV-G5","PR-08","P0","implemented_literal","packages/dms/src/search/acl-filter.js","packages/dms/src/search/acl-filter.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T003","MV-G5","PR-08","P0","implemented_literal","packages/dms/src/search/search-service.js","packages/dms/src/search/search-service.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T004","MV-G5","PR-08","P0","implemented_literal","packages/dms/src/search/indexer.js","packages/dms/src/search/indexer.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T005","MV-G5","PR-08","P0","implemented_literal","packages/ai-governance/src/retrieval-evidence.js","packages/ai-governance/src/retrieval-evidence.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T006","MV-G5","PR-08","P0","implemented_literal","packages/ai-governance/src/retrieval-service.js","packages/ai-governance/src/retrieval-service.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T007","MV-G5","PR-08","P0","implemented_literal","packages/ai-governance/src/source-policy.js","packages/ai-governance/src/source-policy.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T008","MV-G5","PR-08","P1","implemented_literal","packages/client-portal/src/projection-service.js","packages/client-portal/src/projection-service.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T009","MV-G5","PR-08","P1","implemented_literal","packages/data-room/src/projection-service.js","packages/data-room/src/projection-service.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T010","MV-G5","PR-08","P1","implemented_literal","apps/api/test/e2e/vault-search-acl.test.js","apps/api/test/e2e/vault-search-acl.test.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T011","MV-G5","PR-08","P1","implemented_literal","apps/api/test/e2e/ai-vault-permission.test.js","apps/api/test/e2e/ai-vault-permission.test.js","MV-H4-search-ai-portal-hardening"
"MV-G5-W05-T012","MV-G5","PR-08","P1","implemented_literal","apps/api/test/e2e/portal-vault-projection.test.js","apps/api/test/e2e/portal-vault-projection.test.js","MV-H4-search-ai-portal-hardening"
"MV-G6-W06-T001","MV-G6","PR-07/09/10","P0","implemented_literal","packages/matter/src/timeline-repository.js","packages/matter/src/timeline-repository.js","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T002","MV-G6","PR-07/09/10","P0","implemented_literal","packages/matter/src/timeline-projection.js","packages/matter/src/timeline-projection.js","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T003","MV-G6","PR-07/09/10","P0","implemented_literal","packages/matter/src/timeline-projection.js","packages/matter/src/timeline-projection.js","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T004","MV-G6","PR-07/09/10","P0","implemented_literal","packages/matter/src/timeline-projection.js","packages/matter/src/timeline-projection.js","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T005","MV-G6","PR-07/09/10","P0","implemented_literal","apps/api/src/routes/matters.js","apps/api/src/routes/matters.js","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T006","MV-G6","PR-07/09/10","P0","implemented_literal","apps/api/src/routes/matters.js","apps/api/src/routes/matters.js","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T007","MV-G6","PR-07/09/10","P0","implemented_literal","apps/web/src/data/vaultApiClient.ts","apps/web/src/data/vaultApiClient.ts","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T008","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/src/components/MatterVaultPanel.jsx","apps/web/src/components/MatterVaultPanel.jsx","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T009","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/src/components/VaultDocumentTable.jsx","apps/web/src/components/VaultDocumentTable.jsx","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T010","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/src/components/VaultDocumentDetail.jsx","apps/web/src/components/VaultDocumentDetail.jsx","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T011","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/src/components/VaultSecurityBadges.jsx","apps/web/src/components/VaultSecurityBadges.jsx","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T012","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/src/components/VaultBreadcrumb.jsx","apps/web/src/components/VaultBreadcrumb.jsx","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T013","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/src/components/primitives.jsx","apps/web/src/components/primitives.jsx","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T014","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/e2e/matter-vault.spec.ts","apps/web/e2e/matter-vault.spec.ts","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T015","MV-G6","PR-07/09/10","P1","implemented_literal","apps/web/test/matter-vault-a11y.test.mjs","apps/web/test/matter-vault-a11y.test.mjs","MV-H5-ui-timeline-hardening"
"MV-G6-W06-T016","MV-G6","PR-07/09/10","P2","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/ui-closeout-report.md","docs/reorganization/client-matter-os/matter-vault-r4/ui-closeout-report.md","MV-H5-ui-timeline-hardening"
"MV-G7-W07-T001","MV-G7","PR-11","P0","implemented_literal","scripts/inventory-matter-vault-records.mjs","scripts/inventory-matter-vault-records.mjs","MV-H4-migration-hardening"
"MV-G7-W07-T002","MV-G7","PR-11","P0","implemented_literal","scripts/backfill-matter-vault-links.mjs","scripts/backfill-matter-vault-links.mjs","MV-H4-migration-hardening"
"MV-G7-W07-T003","MV-G7","PR-11","P0","implemented_literal","scripts/backfill-vault-workspaces.mjs","scripts/backfill-vault-workspaces.mjs","MV-H4-migration-hardening"
"MV-G7-W07-T004","MV-G7","PR-11","P0","implemented_literal","scripts/audit-duplicate-vault-workspaces.mjs","scripts/audit-duplicate-vault-workspaces.mjs","MV-H4-migration-hardening"
"MV-G7-W07-T005","MV-G7","PR-11","P0","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/migration-dry-run.md","docs/reorganization/client-matter-os/matter-vault-r4/migration-dry-run.md","MV-H4-migration-hardening"
"MV-G7-W07-T006","MV-G7","PR-11","P0","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/rollback-plan.md","docs/reorganization/client-matter-os/matter-vault-r4/rollback-plan.md","MV-H4-migration-hardening"
"MV-G7-W07-T007","MV-G7","PR-11","P0","implemented_literal","scripts/reconcile-matter-vault-backfill.mjs","scripts/reconcile-matter-vault-backfill.mjs","MV-H4-migration-hardening"
"MV-G7-W07-T008","MV-G7","PR-11","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/migration-failed-rows.json","docs/reorganization/client-matter-os/matter-vault-r4/migration-failed-rows.json","MV-H4-migration-hardening"
"MV-G7-W07-T009","MV-G7","PR-11","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/migration-signoff.md","docs/reorganization/client-matter-os/matter-vault-r4/migration-signoff.md","MV-H4-migration-hardening"
"MV-G7-W07-T010","MV-G7","PR-11","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/migration-closeout.md","docs/reorganization/client-matter-os/matter-vault-r4/migration-closeout.md","MV-H4-migration-hardening"
"MV-G8-W08-T001","MV-G8","PR-12","P0","implemented_literal","apps/api/test/e2e/matter-vault-workflow.test.js","apps/api/test/e2e/matter-vault-workflow.test.js","MV-H6-evidence-closeout"
"MV-G8-W08-T002","MV-G8","PR-12","P0","implemented_literal","apps/api/test/security/matter-vault-security.test.js","apps/api/test/security/matter-vault-security.test.js","MV-H6-evidence-closeout"
"MV-G8-W08-T003","MV-G8","PR-12","P0","implemented_literal","apps/api/test/audit/matter-vault-audit.test.js","apps/api/test/audit/matter-vault-audit.test.js","MV-H6-evidence-closeout"
"MV-G8-W08-T004","MV-G8","PR-12","P0","implemented_literal","apps/api/test/idempotency/matter-vault-idempotency.test.js","apps/api/test/idempotency/matter-vault-idempotency.test.js","MV-H6-evidence-closeout"
"MV-G8-W08-T005","MV-G8","PR-12","P0","implemented_literal","packages/dms/test/document-state-machine.test.js","packages/dms/test/document-state-machine.test.js","MV-H6-evidence-closeout"
"MV-G8-W08-T006","MV-G8","PR-12","P0","implemented_literal","apps/api/test/perf/matter-vault-smoke.test.js","apps/api/test/perf/matter-vault-smoke.test.js","MV-H6-evidence-closeout"
"MV-G8-W08-T007","MV-G8","PR-12","P0","implemented_literal","scripts/drill-matter-vault-backup-restore.mjs","scripts/drill-matter-vault-backup-restore.mjs","MV-H6-evidence-closeout"
"MV-G8-W08-T008","MV-G8","PR-12","P1","implemented_literal","docs/uat/matter-vault-uat-scripts.md","docs/uat/matter-vault-uat-scripts.md","MV-H6-evidence-closeout"
"MV-G8-W08-T009","MV-G8","PR-12","P1","implemented_literal","scripts/validate-matter-vault-r4-readiness.mjs","scripts/validate-matter-vault-r4-readiness.mjs","MV-H6-evidence-closeout"
"MV-G8-W08-T010","MV-G8","PR-12","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/evidence-matrix.md","docs/reorganization/client-matter-os/matter-vault-r4/evidence-matrix.md","MV-H6-evidence-closeout"
"MV-G8-W08-T011","MV-G8","PR-12","P1","implemented_literal","scripts/audit-matter-vault-no-go-claim.mjs","scripts/audit-matter-vault-no-go-claim.mjs","MV-H6-evidence-closeout"
"MV-G8-W08-T012","MV-G8","PR-12","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/r4-closeout.md","docs/reorganization/client-matter-os/matter-vault-r4/r4-closeout.md","MV-H6-evidence-closeout"
"MV-G8-W08-T013","MV-G8","PR-12","P1","launch_only_external_receipt","CI","local validator bundle; GitHub PR checks when available","MV-H6-evidence-closeout"
"MV-G8-W08-T014","MV-G8","PR-12","P1","implemented_literal","docs/reorganization/client-matter-os/matter-vault-r4/signoff.md","docs/reorganization/client-matter-os/matter-vault-r4/signoff.md","MV-H6-evidence-closeout"
