tuw_id,gate,gate_name,domain,phase,sprint_window,pr_slice,priority,target_r_level,task,owner_role,target_files,evidence_path,source_status,repo_status,existing_target_state,implementation_gate,acceptance_criteria
CMP-G0-W00-T012,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,Event taxonomy freeze,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/event-taxonomy.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-012.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Every write and sensitive read mapped; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T013,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,State-machine registry,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/state-machines.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-013.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Invalid transitions enumerated; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T014,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,Permission model baseline,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/permission-model.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-014.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Fail-closed rule documented; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T015,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P1,R0/R1,Vault architecture ADR,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/adr-vault-runtime.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-015.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Vault owns docs/email/HR docs/RAG evidence; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T016,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P2,R0/R1,People architecture ADR,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/adr-user-employee.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-016.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,MatterTeam must reference Employee; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T017,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P2,R0/R1,Billing profile ownership ADR,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/adr-billing-profile-owner.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-017.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Party/Billing boundary recorded; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T018,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P2,R0/R1,Main vs CMP branch baseline report,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/current-state-report.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-018.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,R4 not claimed from branch evidence; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T019,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P2,R0/R1,Release gate calendar,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/roadmap-calendar.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-019.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,Gate dates and dependencies recorded; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T020,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P2,R0/R1,Development environment bootstrap,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/dev-environment.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-020.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,New dev can run tests with clean seed; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G0-W00-T021,CMP-G0,Product Governance & Architecture Freeze,Architecture,P0,S01-S02,PR-01,P2,R0/R1,G0 closeout evidence pack,Architecture Lead / PM,docs/reorganization/client-matter-os/cmp-v1/g0-closeout.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g0-021.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,PM/Tech Lead/QA approval fields present; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T001,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Persistence substrate repository interface,Platform Security Lead,packages/platform/src/persistence/**,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-001.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,DB-backed adapter exists; production mode rejects Map repository; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T002,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Tenant context middleware,Platform Security Lead,apps/api/src/middleware/tenant-context.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-002.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,tenant_id missing/mismatch fails closed; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T003,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Actor context middleware,Platform Security Lead,apps/api/src/middleware/actor-context.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-003.md,Not Started,target_files_present_needs_r4_evidence,all_declared_targets_present,not_closed,actor missing returns 401/403 safe error; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T004,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Permission context persistence,Platform Security Lead,packages/authz/src/permission-context-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-004.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,Every data route decision has stored context; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T005,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Policy store runtime,Platform Security Lead,packages/authz/src/policy-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-005.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,Policy create/update audit and deny-over-allow tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T006,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Object ACL store runtime,Platform Security Lead,packages/authz/src/object-acl-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-006.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,"object allow/deny, cross-tenant denial tests; evidence artifact linked; validator passes; no descriptor-only completion claim."
CMP-G1-W01-T007,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Ethical wall runtime,Platform Security Lead,packages/authz/src/ethical-wall-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-007.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,blocked actor cannot list/search/read matter; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T008,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Legal hold runtime,Platform Security Lead,packages/authz/src/legal-hold-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-008.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,held document/email/AI output delete blocked; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T009,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P0,R4 foundation,Break-glass workflow,Platform Security Lead,packages/authz/src/break-glass-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-009.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,break-glass without approval blocked; audited; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T010,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Durable audit store,Platform Security Lead,packages/audit/src/durable-audit-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-010.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,tamper detection and tenant export tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T011,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Write audit middleware,Platform Security Lead,apps/api/src/middleware/audit-required.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-011.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,audit completeness test for all write routes; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T012,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Sensitive read audit middleware,Platform Security Lead,apps/api/src/middleware/sensitive-read-audit.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-012.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,sensitive read creates event with permission decision; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T013,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Safe error envelope,Platform Security Lead,apps/api/src/safe-error.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-013.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,safe error snapshot tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T014,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Idempotency store runtime,Platform Security Lead,packages/platform/src/persistence/idempotency-store.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-014.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,duplicate side effect blocked; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T015,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Correlation and causation IDs,Platform Security Lead,apps/api/src/middleware/correlation.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-015.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,audit event contains correlation chain; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T016,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Permission simulator read-only,Platform Security Lead,apps/api/src/routes/permission-simulator.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-016.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,simulation writes no policy/object access; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T017,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P1,R4 foundation,Audit export API,Platform Security Lead,apps/api/src/routes/audit.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-017.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,cross-tenant export blocked; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T018,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,Audit verify job,Platform Security Lead,packages/audit/src/verify-job.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-018.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,tamper fixture fails verify; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T019,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,Route coverage audit,Platform Security Lead,scripts/audit-api-route-trust-coverage.mjs,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-019.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,unknown data route fails CI; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T020,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,Secret handling guard,Platform Security Lead,packages/platform/src/secrets/**,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-020.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,secret scan and redaction tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T021,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,Privacy minimization guard,Platform Security Lead,packages/authz/src/privacy-minimization.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-021.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,denied response has safe fields only; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T022,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,G1 integration tests,Platform Security Lead,apps/api/test/cmp-r4-g1-trust.test.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-022.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,allow/deny/review/approval paths pass; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T023,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,G1 R4 validator,Platform Security Lead,scripts/validate-cmp-r4-g1.mjs,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-023.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,Fails on in-memory audit or missing route gate; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G1-W01-T024,CMP-G1,Trust Foundation Runtime,Platform/IAM/Audit,P1,S03-S05,PR-02/PR-03,P2,R4 foundation,G1 closeout report,Platform Security Lead,docs/reorganization/client-matter-os/cmp-v1/r4-g1-closeout.md,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g1-024.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,R4 evidence links complete; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T001,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,Party repository and migrations,Master Data Lead,packages/master-data/src/repository.js; migrations,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-001.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,Party create/read/update persisted; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T002,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,Person model runtime,Master Data Lead,packages/master-data/src/person-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-002.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,duplicate email warning test; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T003,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,Organization model runtime,Master Data Lead,packages/master-data/src/organization-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-003.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,business number uniqueness test; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T004,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,Party alias runtime,Master Data Lead,packages/master-data/src/alias-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-004.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,Korean/English/former-name search test; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T005,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,Party identifier runtime,Master Data Lead,packages/master-data/src/identifier-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-005.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,unique identifier per tenant test; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T006,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,ClientGroup runtime,Master Data Lead,packages/master-data/src/client-group-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-006.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,primary party and membership tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T007,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P0,R4 foundation,Relationship graph runtime,Master Data Lead,packages/master-data/src/relationship-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-007.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,edge direction validation and ACL trimming; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T008,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,ContactPoint runtime,Master Data Lead,packages/master-data/src/contact-point-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-008.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,primary/verified/contact type tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T009,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,BillingProfile runtime,Master Data Lead,packages/master-data/src/billing-profile-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-009.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,billing/legal client validation; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T010,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,Duplicate detection service,Master Data Lead,packages/master-data/src/duplicate-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-010.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,similar name and identifier candidate tests; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T011,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,Merge/split transaction,Master Data Lead,packages/master-data/src/merge-split-service.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-011.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,failed merge rollback and audit; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T012,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,Party audit coverage,Master Data Lead,packages/master-data/src/audit.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-012.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,audit event completeness; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T013,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,Party permission trimming,Master Data Lead,apps/api/src/party-runtime-context.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-013.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,unauthorized Party omitted without count leak; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T014,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P1,R4 foundation,Party API contract tests,Master Data Lead,apps/api/test/cmp-r4-g2-party.test.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-014.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,contract tests pass; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T015,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P2,R4 foundation,CRM/Matter/Billing references,Master Data Lead,packages/master-data/src/reference-integrity.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-015.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,stale ref blocked; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T016,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P2,R4 foundation,Party UI live integration,Master Data Lead,apps/web/src/components/ClientsSurface.jsx,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-016.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,loading/empty/denied/review states; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T017,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P2,R4 foundation,G2 migration import dry-run,Master Data Lead,packages/migration/src/party-import.js,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-017.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,duplicate Party detection; evidence artifact linked; validator passes; no descriptor-only completion claim.
CMP-G2-W02-T018,CMP-G2,Party & Client Master Runtime,Party Master,P2,S06-S07,PR-04,P2,R4 foundation,G2 R4 validator,Master Data Lead,scripts/validate-cmp-r4-g2.mjs,docs/reorganization/client-matter-os/cmp-v1/evidence/cmp-g2-018.md,Not Started,planned_missing_target_files,no_declared_targets_present,not_closed,Fails without DB-backed Party; evidence artifact linked; validator passes; no descriptor-only completion claim.
